Label,Prediction
[728.97497559],[746.20544]
[735.77502441],[739.7523]
[727.02502441],[737.41864]
[736.90002441],[735.41003]
[736.20001221],[736.74457]
[746.42498779],[739.09534]
[749.20001221],[743.90283]
[746.34997559],[749.1183]
[734.77502441],[751.87305]
[749.],[749.2288]
[757.04998779],[749.2051]
[748.67498779],[753.1588]
[749.70001221],[755.05725]
[749.22497559],[755.38776]
[734.70001221],[754.9466]
[732.67498779],[750.2255]
[733.90002441],[744.5584]
[735.375],[740.9855]
[759.47497559],[740.0261]
[762.52502441],[747.3514]
[750.77502441],[756.95593]
[734.04998779],[760.50446]
[722.82501221],[755.0517]
[725.34997559],[744.45557]
[726.22497559],[736.31726]
[721.90002441],[732.511]
[713.84997559],[730.4791]
[702.25],[727.31726]
[711.125],[721.251]
[705.34997559],[718.2667]
[696.15002441],[716.23676]
[718.84997559],[712.426]
[745.95001221],[715.0308]
[759.07501221],[727.50745]
[746.17498779],[744.07794]
[750.27502441],[752.948]
[744.90002441],[756.0945]
[769.15002441],[754.5804]
[765.09997559],[758.8178]
[753.32501221],[763.6098]
[752.45001221],[763.2454]
[755.97497559],[760.42334]
[782.27502441],[758.9508]
[804.92498779],[766.61273]
[820.875],[782.8116]
[824.67498779],[801.99615]
[839.25],[816.87213]
[830.20001221],[829.19324]
[871.40002441],[833.6843]
[873.25],[846.60236]
[874.90002441],[860.1187]
[891.40002441],[869.1836]
[897.875],[878.7766]
[887.25],[887.8943]
[889.59997559],[890.03687]
[896.15002441],[889.57446]
[907.75],[891.2229]
[907.70001221],[897.6002]
[922.92498779],[903.67816]
[933.59997559],[912.67645]
[935.04998779],[923.552]
[911.34997559],[931.6091]
[922.70001221],[926.9863]
[907.],[923.5063]
[909.90002441],[917.1531]
[916.75],[913.2374]
[890.45001221],[914.60223]
[888.72497559],[908.27057]
[868.20001221],[900.6089]
[858.90002441],[888.83386]
[889.47497559],[876.8829]
[914.72497559],[880.0682]
[921.],[896.91895]
[919.40002441],[914.4907]
[953.95001221],[924.41394]
[973.54998779],[939.6343]
[1016.59997559],[958.80164]
[1028.42504883],[987.72986]
[1000.54998779],[1013.6435]
[1034.55004883],[1016.56573]
[995.375],[1022.80426]
[994.40002441],[1013.86847]
[993.95001221],[1002.6529]
[996.90002441],[996.37885]
[983.95001221],[996.2189]
[976.875],[993.5193]
[951.27502441],[988.35815]
[973.72497559],[975.0666]
[977.25],[973.1125]
[983.15002441],[977.9932]
[975.15002441],[985.10077]
[977.54998779],[986.7738]
[969.75],[986.4727]
[979.52502441],[982.8121]
[971.45001221],[983.0985]
[974.04998779],[981.825]
[963.90002441],[981.23505]
[974.52502441],[977.4327]
[1012.29998779],[977.98444]
[1016.79998779],[994.5523]
[1044.875],[1012.1537]
[1030.72497559],[1033.1019]
[1045.42504883],[1041.1118]
[1040.],[1046.5233]
[1061.02502441],[1047.2233]
[1106.375],[1054.5549]
[1107.69995117],[1080.2065]
[1054.22497559],[1101.9962]
[1060.32495117],[1089.4586]
[1035.82495117],[1073.431]
[1044.67504883],[1055.0427]
[1030.57495117],[1047.9534]
[1004.34997559],[1042.4646]
[1033.875],[1029.0364]
[1031.97497559],[1030.765]
[1034.90002441],[1036.8384]
[1045.97497559],[1042.3052]
[1056.02502441],[1049.4751]
[1048.80004883],[1058.2169]
[1021.],[1060.5996]
[1045.55004883],[1048.1348]
[1060.97497559],[1045.9927]
[1045.42504883],[1055.4232]
[1047.32495117],[1058.0829]
[1043.57495117],[1057.4879]
[1024.5],[1054.9479]
[1013.09997559],[1045.282]
[1022.],[1032.8702]
[1014.95001221],[1028.854]
[1011.79998779],[1026.9102]
[993.29998779],[1024.9358]
[1000.42498779],[1016.44586]
[1006.625],[1012.0234]
[996.84997559],[1013.6331]
[993.22497559],[1012.64]
[992.29998779],[1009.31006]
[1002.17498779],[1006.21106]
[1006.95001221],[1008.32117]
[1010.40002441],[1013.2169]
[1000.02502441],[1018.0988]
[993.57501221],[1016.6772]
[1000.15002441],[1010.9309]
[1002.42498779],[1008.8159]
[1041.375],[1009.966]
[1029.02502441],[1026.8732]
[1014.45001221],[1037.6423]
[1000.90002441],[1034.9448]
[1009.57501221],[1023.4152]
[1022.67498779],[1017.6449]
[1027.90002441],[1021.96387]
[1040.75],[1029.9413]
[1060.27502441],[1040.5903]
[1054.52502441],[1055.4832]
[1055.34997559],[1063.1561]
[1050.15002441],[1064.9586]
[1080.32495117],[1062.0657]
[1078.02502441],[1071.4254]
[1086.02502441],[1080.4224]
[1076.65002441],[1088.1395]
[1083.5],[1088.2223]
[1111.09997559],[1088.6344]
[1119.80004883],[1101.1539]
[1103.07495117],[1116.1617]
[1116.32495117],[1117.6061]
[1120.97497559],[1119.4647]
[1140.44995117],[1123.4008]
[1184.375],[1134.8091]
[1163.375],[1163.0862]
[1176.80004883],[1174.471]
[1175.15002441],[1180.1973]
[1106.52502441],[1181.4915]
[1169.09997559],[1149.69]
[1140.15002441],[1151.252]
[1137.02502441],[1151.3049]
[1126.22497559],[1148.235]
[1124.34997559],[1141.2767]
[1114.80004883],[1135.8898]
[1106.17504883],[1129.602]
[1104.90002441],[1122.173]
[1108.80004883],[1117.3724]
[1120.52502441],[1117.4286]
[1097.22497559],[1124.0686]
[1075.67504883],[1119.5061]
[1097.19995117],[1103.6968]
[1087.625],[1101.1248]
[1072.19995117],[1100.4661]
[1046.77502441],[1093.5475]
[1050.84997559],[1076.91]
[1052.72497559],[1066.5112]
[1066.875],[1064.0267]
[1083.94995117],[1070.8691]
[1082.69995117],[1084.6987]
[1083.],[1093.9558]
[1098.97497559],[1097.2174]
[1094.67504883],[1103.7509]
[1102.84997559],[1106.8157]
[1088.94995117],[1110.4733]
[1094.44995117],[1106.8666]
[1091.07495117],[1104.6948]
[1137.875],[1102.9386]
[1120.02502441],[1122.2052]
[1120.32495117],[1132.4011]
[1125.94995117],[1134.0055]
[1120.375],[1134.921]
[1114.25],[1133.0762]
[1071.32495117],[1128.4474]
[1075.82495117],[1106.465]
[1089.72497559],[1091.0919]
[1074.77502441],[1091.6824]
[1069.77502441],[1090.6984]
[1061.],[1086.8893]
[1019.70001221],[1080.2786]
[1054.09997559],[1058.5314]
[1063.5],[1055.5061]
[1076.30004883],[1064.6405]
[1073.32495117],[1078.3087]
[1046.75],[1085.7584]
[1047.125],[1076.3591]
[1051.05004883],[1065.5188]
[1066.57495117],[1061.1934]
[1088.34997559],[1067.3392]
[1086.125],[1083.2006]
[1083.25],[1094.2233]
[1069.42504883],[1097.0139]
[1076.90002441],[1090.0785]
[1070.19995117],[1086.3291]
[1063.07495117],[1082.9537]
[1082.05004883],[1078.0721]
[1126.375],[1082.856]
[1098.15002441],[1107.7853]
[1111.44995117],[1116.3232]
[1110.875],[1120.0182]
[1110.52502441],[1120.9264]
[1106.875],[1120.4004]
[1106.875],[1118.1086]
[1102.625],[1116.349]
[1095.67504883],[1113.8884]
[1097.125],[1109.3871]
[1094.59997559],[1107.0275]
[1104.22497559],[1105.5614]
[1106.84997559],[1109.1733]
[1099.44995117],[1114.0143]
[1082.77502441],[1113.6641]
[1081.02502441],[1104.4807]
[1079.94995117],[1095.9723]
[1079.67504883],[1091.4468]
[1105.47497559],[1090.1277]
[1108.05004883],[1101.2992]
[1096.57495117],[1112.7834]
[1080.375],[1113.7084]
[1018.34997559],[1103.6292]
[1034.09997559],[1068.599]
[1041.42504883],[1048.1733]
[1055.97497559],[1045.7623]
[1063.94995117],[1055.834]
[1077.],[1068.4875]
[1065.72497559],[1081.4498]
[1075.27502441],[1084.017]
[1079.97497559],[1085.5353]
[1070.67504883],[1088.2751]
[1064.92504883],[1086.1776]
[1064.30004883],[1080.7494]
[1044.625],[1076.5315]
[1052.07495117],[1066.6002]
[1042.125],[1062.1703]
[1056.90002441],[1057.8486]
[1079.07495117],[1061.3044]
[1103.47497559],[1075.1858]
[1118.67504883],[1096.5441]
[1106.77502441],[1117.1332]
[1134.875],[1122.7477]
[1139.92504883],[1132.5566]
[1113.52502441],[1142.185]
[1138.02502441],[1135.3887]
[1146.19995117],[1136.9788]
[1134.42504883],[1145.1708]
[1154.52502441],[1146.2838]
[1155.27502441],[1153.4265]
[1153.82495117],[1160.1279]
[1199.77502441],[1162.7388]
[1212.69995117],[1183.8091]
[1195.375],[1207.3296]
[1200.80004883],[1211.5311]
[1208.94995117],[1209.8986]
[1205.25],[1211.8914]
[1244.27502441],[1212.5403]
[1224.72497559],[1230.9922]
[1199.07495117],[1236.8961]
[1175.90002441],[1223.0735]
[1197.22497559],[1199.8573]
[1213.125],[1196.3885]
[1199.65002441],[1208.6754]
[1200.92504883],[1212.8774]
[1190.97497559],[1212.7711]
[1220.59997559],[1207.1837]
[1231.875],[1216.8331]
[1266.19995117],[1232.0901]
[1293.07495117],[1257.5087]
[1297.59997559],[1286.561]
[1302.875],[1304.0045]
[1294.65002441],[1311.3752]
[1297.52502441],[1308.0977]
[1290.02502441],[1305.2086]
[1258.19995117],[1300.6871]
[1263.02502441],[1282.1681]
[1261.84997559],[1272.3445]
[1253.32495117],[1270.4716]
[1234.90002441],[1267.616]
[1239.34997559],[1256.8506]
[1234.19995117],[1251.8186]
[1235.875],[1248.8658]
[1250.02502441],[1248.6327]
[1249.875],[1256.1787]
[1243.80004883],[1262.0286]
[1219.25],[1261.0724]
[1218.09997559],[1246.5717]
[1216.22497559],[1235.07]
[1232.09997559],[1229.8513]
[1261.02502441],[1236.6987]
[1266.90002441],[1257.6974]
[1274.97497559],[1275.1118]
[1261.17504883],[1286.1444]
[1268.57495117],[1282.8835]
[1268.94995117],[1280.7804]
[1303.19995117],[1280.7493]
[1292.375],[1298.4441]
[1299.30004883],[1306.9069]
[1321.34997559],[1311.2032]
[1315.625],[1323.8007]
[1300.07495117],[1329.4417]
[1299.17504883],[1321.7336]
[1303.80004883],[1314.1482]
[1279.15002441],[1313.523]
[1275.42504883],[1302.5822]
[1295.59997559],[1292.5361]
[1321.15002441],[1298.8413]
[1357.09997559],[1319.6177]
[1360.90002441],[1351.8002]
[1344.09997559],[1371.8696]
[1321.5],[1368.2181]
[1354.30004883],[1348.04]
[1342.],[1352.1791]
[1383.97497559],[1354.7909]
[1368.30004883],[1377.2319]
[1387.80004883],[1385.0242]
[1365.67504883],[1394.4935]
[1341.59997559],[1387.861]
[1353.02502441],[1367.4182]
[1339.25],[1361.3944]
[1358.27502441],[1355.7046]
[1349.59997559],[1363.1289]
[1349.59997559],[1365.6892]
[1339.05004883],[1365.2578]
[1220.57495117],[1358.8927]
[1211.65002441],[1292.1707]
[1216.69995117],[1242.0577]
[1225.92504883],[1227.477]
[1228.57495117],[1234.0443]
[1239.30004883],[1243.72]
[1253.02502441],[1254.1753]
[1279.09997559],[1266.1567]
[1303.92504883],[1285.03]
[1295.17504883],[1308.3522]
[1299.75],[1316.1128]
[1286.42504883],[1316.9534]
[1284.82495117],[1308.908]
[1290.34997559],[1301.7806]
[1295.875],[1301.8575]
[1294.22497559],[1306.9506]
[1303.22497559],[1309.9988]
[1309.15002441],[1315.5076]
[1292.92504883],[1322.0723]
[1286.875],[1317.0543]
[1302.72497559],[1308.1757]
[1311.07495117],[1311.326]
[1328.84997559],[1320.5533]
[1318.],[1335.3358]
[1313.65002441],[1338.0267]
[1326.65002441],[1333.2375]
[1321.5],[1335.9333]
[1346.47497559],[1336.7139]
[1328.65002441],[1349.2526]
[1317.67504883],[1349.1327]
[1318.97497559],[1339.3295]
[1289.47497559],[1333.2944]
[1256.40002441],[1316.4852]
[1257.42504883],[1288.6497]
[1253.94995117],[1273.7234]
[1246.07495117],[1268.9569]
[1225.34997559],[1265.2805]
[1179.32495117],[1253.373]
[1221.52502441],[1222.8225]
[1222.05004883],[1223.0206]
[1230.34997559],[1232.8889]
[1255.27502441],[1243.4496]
[1256.69995117],[1260.624]
[1258.34997559],[1271.7926]
[1239.94995117],[1275.7753]
[1252.5],[1266.5049]
[1261.44995117],[1264.1752]
[1265.02502441],[1269.924]
[1279.125],[1276.682]
[1272.77502441],[1287.1307]
[1289.72497559],[1290.2646]
[1270.125],[1297.9974]
[1223.30004883],[1293.5234]
[1208.84997559],[1264.1333]
[1221.90002441],[1236.2509]
[1256.15002441],[1230.4001]
[1254.84997559],[1250.5217]
[1248.94995117],[1266.9934]
[1260.97497559],[1270.257]
[1269.55004883],[1273.8643]
[1266.07495117],[1280.18]
[1255.5],[1281.996]
[1250.22497559],[1275.951]
[1256.90002441],[1268.1246]
[1256.77502441],[1267.3441]
[1251.80004883],[1269.0618]
[1251.02502441],[1268.0001]
[1269.80004883],[1266.3041]
[1272.32495117],[1274.7529]
[1241.02502441],[1283.1976]
[1257.09997559],[1271.3414]
[1279.125],[1267.5763]
[1257.15002441],[1279.7749]
[1276.19995117],[1279.1327]
[1287.875],[1283.9524]
[1256.44995117],[1294.3097]
[1220.57495117],[1284.9078]
[1229.94995117],[1256.5325]
[1231.07495117],[1242.7913]
[1269.375],[1241.5247]
[1292.40002441],[1262.8313]
[1317.82495117],[1291.3108]
[1340.52502441],[1319.5138]
[1337.77502441],[1344.3944]
[1348.32495117],[1353.6187]
[1352.375],[1358.5742]
[1336.09997559],[1362.0928]
[1328.22497559],[1354.7086]
[1331.17504883],[1344.2533]
[1334.69995117],[1340.8236]
[1388.],[1343.4502]
[1373.],[1374.7178]
[1348.22497559],[1389.188]
[1323.40002441],[1376.7849]
[1321.34997559],[1351.1783]
[1303.27502441],[1335.8021]
[1309.52502441],[1322.4005]
[1291.17504883],[1319.8699]
[1281.15002441],[1312.3322]
[1291.84997559],[1302.1348]
[1279.67504883],[1302.4252]
[1298.125],[1299.3802]
[1305.47497559],[1306.0105]
[1308.57495117],[1315.8]
[1295.65002441],[1322.5359]
[1286.875],[1318.0522]
[1256.55004883],[1308.269]
[1257.40002441],[1287.0801]
[1282.07495117],[1274.482]
[1276.97497559],[1283.7825]
[1271.32495117],[1291.8751]
[1273.65002441],[1292.0074]
[1292.5],[1291.1128]
[1320.69995117],[1300.1035]
[1332.27502441],[1321.5471]
[1326.875],[1341.0114]
[1327.75],[1346.319]
[1313.875],[1345.0752]
[1291.40002441],[1335.7277]
[1237.42504883],[1317.5345]
[1214.40002441],[1279.2693]
[1213.52502441],[1244.8716]
[1222.55004883],[1230.0486]
[1228.625],[1232.7518]
[1246.52502441],[1241.612]
[1250.09997559],[1256.015]
[1247.5],[1266.2811]
[1243.65002441],[1268.3206]
[1231.84997559],[1264.7056]
[1240.77502441],[1255.3594]
[1258.92504883],[1253.2999]
[1231.52502441],[1263.3988]
[1272.625],[1258.333]
[1263.625],[1271.0236]
[1278.],[1278.8813]
[1261.44995117],[1287.6665]
[1257.69995117],[1284.2136]
[1249.625],[1276.924]
[1255.57495117],[1268.6798]
[1260.19995117],[1267.4569]
[1256.34997559],[1271.2999]
[1278.52502441],[1272.5723]
[1277.75],[1283.3269]
[1308.94995117],[1291.1018]
[1300.5],[1309.2255]
[1304.42504883],[1316.8135]
[1307.625],[1318.746]
[1304.75],[1319.9244]
[1305.15002441],[1318.8499]
[1308.875],[1317.8881]
[1299.94995117],[1319.5317]
[1305.44995117],[1316.5437]
[1302.82495117],[1316.6882]
[1287.92504883],[1316.5779]
[1288.72497559],[1308.7458]
[1280.82495117],[1303.3872]
[1300.375],[1297.8507]
[1285.65002441],[1305.0857]
[1252.90002441],[1304.7306]
[1252.40002441],[1285.342]
[1256.],[1270.835]
[1256.90002441],[1267.7097]
[1265.02502441],[1269.709]
[1274.77502441],[1275.8956]
[1295.75],[1284.8983]
[1287.30004883],[1300.4579]
[1285.15002441],[1305.5236]
[1275.],[1303.393]
[1296.40002441],[1295.4236]
[1296.44995117],[1300.8964]
[1275.47497559],[1307.6792]
[1296.55004883],[1300.2275]
[1288.875],[1303.3849]
[1301.94995117],[1304.6691]
[1316.65002441],[1311.0355]
[1308.125],[1323.2339]
[1297.55004883],[1326.1587]
[1261.25],[1319.1863]
[1237.17504883],[1294.7976]
[1254.77502441],[1266.6031]
[1249.75],[1261.5952]
[1272.875],[1263.4364]
[1270.09997559],[1277.128]
[1282.19995117],[1285.8354]
[1289.57495117],[1294.175]
[1280.69995117],[1301.8586]
[1264.02502441],[1300.6458]
[1244.30004883],[1288.8475]
[1252.57495117],[1270.4435]
[1248.52502441],[1264.1512]
[1251.02502441],[1262.8817]
[1253.375],[1264.6595]
[1240.32495117],[1267.5914]
[1255.375],[1262.9058]
[1254.80004883],[1265.7216]
[1254.44995117],[1269.2659]
[1273.57495117],[1270.6494]
[1286.65002441],[1280.0549]
[1276.02502441],[1293.5751]
[1286.05004883],[1295.6681]
[1302.09997559],[1298.0841]
[1335.84997559],[1307.815]
[1317.80004883],[1331.7732]
[1351.59997559],[1337.8466]
[1342.375],[1352.4841]
[1370.44995117],[1357.6761]
[1366.80004883],[1371.78]
[1343.42504883],[1379.2427]
[1338.07495117],[1367.9056]
[1289.32495117],[1355.0679]
[1283.57495117],[1323.7435]
[1288.375],[1301.8066]
[1287.32495117],[1297.5773]
[1285.42504883],[1299.7938]
[1282.02502441],[1301.3243]
[1268.69995117],[1300.0538]
[1295.90002441],[1291.8754]
[1302.80004883],[1299.7219]
[1273.72497559],[1311.6616]
[1269.875],[1303.027]
[1270.15002441],[1290.8595]
[1274.875],[1284.8745]
[1272.69995117],[1286.2054]
[1276.],[1287.7267]
[1275.82495117],[1290.0651]
[1268.625],[1291.4683]
[1275.17504883],[1288.281]
[1275.625],[1288.7542]
[1275.52502441],[1290.4454]
[1263.40002441],[1291.4209]
[1266.32495117],[1285.5696]
[1290.19995117],[1282.2622]
[1296.84997559],[1293.6156]
[1294.125],[1306.6528]
[1294.02502441],[1311.492]
[1322.30004883],[1311.268]
[1355.82495117],[1324.3281]
[1350.],[1351.815]
[1326.97497559],[1365.4127]
[1316.90002441],[1354.9706]
[1314.82495117],[1338.5021]
[1296.30004883],[1328.9253]
[1299.27502441],[1316.9551]
[1241.84997559],[1312.2551]
[1233.875],[1282.9344]
[1236.],[1258.4324]
[1244.375],[1250.1543]
[1263.375],[1254.6654]
[1265.],[1269.421]
[1268.57495117],[1280.0476]
[1268.27502441],[1285.2772]
[1265.55004883],[1285.9694]
[1264.55004883],[1283.4745]
[1247.67504883],[1280.7344]
[1247.59997559],[1270.9308]
[1258.67504883],[1264.0782]
[1271.72497559],[1267.4276]
[1266.90002441],[1278.5386]
[1241.32495117],[1283.6406]
[1252.875],[1271.4366]
[1235.67504883],[1266.3882]
[1229.07495117],[1258.1234]
[1198.69995117],[1249.5686]
[1187.30004883],[1230.6871]
[1195.27502441],[1212.9385]
[1175.72497559],[1208.6193]
[1181.27502441],[1201.1355]
[1199.17504883],[1198.4597]
[1195.52502441],[1207.0073]
[1183.97497559],[1212.819]
[1172.77502441],[1208.8859]
[1176.67504883],[1198.5092]
[1186.77502441],[1193.1346]
[1180.94995117],[1196.6334]
[1182.59997559],[1198.1824]
[1175.375],[1198.7178]
[1164.19995117],[1195.371]
[1159.90002441],[1187.2118]
[1164.5],[1179.5884]
[1183.82495117],[1178.033]
[1192.27502441],[1187.9205]
[1193.],[1200.3546]
[1189.22497559],[1207.4474]
[1187.92504883],[1207.4403]
[1204.19995117],[1204.6255]
[1219.875],[1210.0062]
[1208.40002441],[1222.7235]
[1223.19995117],[1225.7249]
[1202.52502441],[1230.9015]
[1212.90002441],[1224.7415]
[1217.125],[1222.8988]
[1231.34997559],[1225.7821]
[1227.90002441],[1235.3284]
[1209.15002441],[1240.428]
[1218.42504883],[1232.3633]
[1208.19995117],[1228.956]
[1184.80004883],[1224.2535]
[1174.47497559],[1210.125]
[1190.80004883],[1195.4294]
[1185.625],[1195.9069]
[1198.80004883],[1198.4218]
[1181.17504883],[1205.9575]
[1163.52502441],[1203.1082]
[1139.59997559],[1189.9209]
[1139.40002441],[1169.2688]
[1130.55004883],[1156.5365]
[1138.82495117],[1148.5892]
[1139.65002441],[1149.3048]
[1140.05004883],[1152.6775]
[1127.25],[1155.1478]
[1147.875],[1150.2915]
[1152.32495117],[1154.422]
[1159.875],[1161.715]
[1165.59997559],[1169.4684]
[1195.65002441],[1176.0903]
[1201.34997559],[1192.778]
[1199.05004883],[1207.4888]
[1208.15002441],[1212.8967]
[1210.02502441],[1216.9716]
[1210.97497559],[1219.8739]
[1181.47497559],[1221.4669]
[1140.69995117],[1208.0258]
[1134.40002441],[1177.6793]
[1098.97497559],[1155.0375]
[1113.30004883],[1130.481]
[1134.57495117],[1123.3038]
[1132.77502441],[1134.5747]
[1137.77502441],[1145.0946]
[1157.92504883],[1151.8866]
[1159.82495117],[1163.1232]
[1157.94995117],[1171.2833]
[1132.],[1173.1732]
[1105.47497559],[1160.2513]
[1106.42504883],[1136.8733]
[1105.25],[1122.1699]
[1088.40002441],[1117.0364]
[1138.32495117],[1109.7837]
[1159.42504883],[1126.6019]
[1186.57495117],[1153.3625]
[1178.77502441],[1182.3085]
[1177.15002441],[1194.5447]
[1178.625],[1194.2698]
[1174.15002441],[1191.1414]
[1182.625],[1186.8259]
[1177.5],[1188.169]
[1164.94995117],[1188.4805]
[1163.52502441],[1182.4734]
[1176.02502441],[1176.9879]
[1212.92504883],[1180.4957]
[1223.125],[1202.3469]
[1236.55004883],[1224.1381]
[1236.90002441],[1240.9626]
[1236.69995117],[1248.0662]
[1234.69995117],[1248.4958]
[1244.75],[1245.896]
[1260.15002441],[1248.7511]
[1226.94995117],[1259.5581]
