,ActualOpen,PredictedOpen,DifferenceOpen,ActualHigh,PredictedHigh,DifferenceHigh,ActualLow,PredictedLow,DifferenceLow,ActualClose,PredictedClose,DifferenceClose
0,619.5,632.54767,13.04766845703125,633.0999755859375,642.4874,9.387451171875,617.3250122070312,633.8664,16.5413818359375,632.0250244140625,637.71497,5.68994140625
1,632.5,634.01306,1.5130615234375,633.3250122070312,644.03,10.70501708984375,623.2000122070312,635.50757,12.30755615234375,624.5999755859375,638.91595,14.31597900390625
2,625.125,636.0646,10.9395751953125,633.9249877929688,646.09106,12.16607666015625,625.125,637.72815,12.6031494140625,629.0750122070312,640.5269,11.451904296875
3,628.0,638.1729,10.17291259765625,642.5,648.17584,5.67584228515625,627.875,640.1202,12.24517822265625,640.0250244140625,642.2342,2.20916748046875
4,639.5499877929688,640.7341,1.18408203125,639.5499877929688,650.6052,11.05523681640625,628.625,643.0691,14.444091796875,633.1500244140625,644.30334,11.1533203125
5,630.0,642.925,12.92498779296875,636.625,652.74963,16.1246337890625,629.625,645.6475,16.02252197265625,634.2000122070312,646.1161,11.91607666015625
6,635.0750122070312,644.11816,9.04315185546875,635.7750244140625,654.06824,18.293212890625,626.0499877929688,647.1866,21.1365966796875,631.7750244140625,647.2234,15.4483642578125
7,632.5250244140625,644.2101,11.68505859375,642.25,654.42773,12.177734375,632.0,647.5348,15.5347900390625,639.2999877929688,647.53784,8.23785400390625
8,639.9500122070312,644.2872,4.337158203125,652.5,654.74194,2.241943359375,638.5499877929688,647.82947,9.27947998046875,649.3250122070312,647.8435,1.48150634765625
9,647.9500122070312,645.64667,2.3033447265625,654.5,656.12775,1.62774658203125,644.0499877929688,649.45447,5.40447998046875,645.8250122070312,649.0751,3.25006103515625
10,645.875,647.87946,2.00445556640625,663.0,658.27167,4.72833251953125,645.875,652.02997,6.15496826171875,661.7249755859375,650.943,10.781982421875
11,660.0,651.11096,8.8890380859375,664.2000122070312,661.2949,2.90509033203125,656.5,655.695,0.80499267578125,661.4249877929688,653.5428,7.8822021484375
12,658.0999755859375,654.82074,3.27923583984375,665.4500122070312,664.61145,0.83856201171875,657.5,659.9573,2.457275390625,660.2249755859375,656.8145,3.41046142578125
13,663.4749755859375,658.2342,5.24078369140625,677.3250122070312,667.43555,9.88946533203125,657.5,663.83466,6.33465576171875,675.4500122070312,660.02606,15.4239501953125
14,675.0,661.89105,13.10894775390625,679.0,670.36127,8.63873291015625,667.5,667.81287,0.3128662109375,671.6500244140625,663.52484,8.12518310546875
15,669.9500122070312,665.4035,4.5465087890625,694.4000244140625,673.151,21.2490234375,661.7000122070312,671.4772,9.77716064453125,683.5750122070312,667.1576,16.41741943359375
16,678.5,669.603,8.89697265625,679.5,677.0575,2.4425048828125,667.3250122070312,675.8159,8.49090576171875,671.875,671.8629,0.0120849609375
17,675.0,672.8713,2.12872314453125,677.4500122070312,681.1431,3.693115234375,666.5,679.4843,12.98431396484375,668.9249877929688,675.43823,6.51324462890625
18,666.4500122070312,673.8332,7.3831787109375,673.5,682.9887,9.48870849609375,661.0250244140625,680.40405,19.3790283203125,670.4249877929688,676.9838,6.558837890625
19,669.75,672.5395,2.78948974609375,685.5,682.32355,3.17645263671875,666.0,678.9086,12.90863037109375,682.25,676.63367,5.6163330078125
20,682.0499877929688,672.02606,10.02392578125,689.9500122070312,682.19385,7.75616455078125,676.8250122070312,678.34,1.5150146484375,687.7999877929688,676.8587,10.9412841796875
21,695.0,673.78723,21.2127685546875,698.4000244140625,684.26514,14.1348876953125,689.4500122070312,680.16956,9.28045654296875,693.3499755859375,678.9525,14.3974609375
22,691.5999755859375,678.3466,13.25335693359375,691.9500122070312,689.1785,2.771484375,682.9749755859375,684.92834,1.953369140625,685.7249755859375,683.4386,2.286376953125
23,684.5,682.55676,1.9432373046875,697.7999877929688,693.8132,3.98681640625,682.0250244140625,689.3207,7.295654296875,696.3250122070312,687.6983,8.626708984375
24,698.4749755859375,685.95483,12.5201416015625,710.5,697.59485,12.9051513671875,694.9500122070312,692.9267,2.0233154296875,707.4500122070312,691.35504,16.094970703125
25,706.5,691.01666,15.48333740234375,711.9749755859375,702.8043,9.170654296875,704.7750244140625,697.8856,6.889404296875,708.8499755859375,696.7112,12.1387939453125
26,714.0,698.0209,15.9791259765625,719.9000244140625,709.6806,10.21942138671875,701.0750122070312,704.4335,3.35845947265625,706.5499877929688,703.85474,2.69525146484375
27,709.125,705.05383,4.0711669921875,710.7750244140625,716.58264,5.8076171875,667.75,711.0356,43.28558349609375,671.0499877929688,711.1729,40.1229248046875
28,672.5,705.18085,32.68084716796875,672.5,717.102,44.60198974609375,646.2750244140625,711.06433,64.789306640625,649.9000244140625,712.2191,62.319091796875
29,647.5,693.8107,46.31072998046875,668.4500122070312,706.95154,38.50152587890625,645.7999877929688,700.3957,54.595703125,661.0,702.64056,41.64056396484375
30,662.4500122070312,678.9047,16.4547119140625,666.1500244140625,692.30536,26.15533447265625,649.1500244140625,685.14526,35.9952392578125,652.0250244140625,690.0974,38.0723876953125
31,655.0,665.5101,10.51007080078125,656.5,677.9746,21.474609375,638.5,670.69476,32.19476318359375,644.7249755859375,678.4754,33.75042724609375
32,645.0499877929688,654.43915,9.38916015625,654.875,666.3432,11.46820068359375,641.1500244140625,657.25616,16.10614013671875,646.5999755859375,668.48267,21.8826904296875
33,647.5999755859375,646.75964,0.84033203125,652.5,657.7624,5.26239013671875,641.0,647.53375,6.53375244140625,642.7999877929688,660.8395,18.03948974609375
